type,event_id,bin,dev_log,dev_se,total_effect_pct,name,start,attendance
Arts & Theatre,ev_28,post2,0.001271920284950978,0.09369709140991822,247.94900811654492,Cirque du Soleil ALIZÉ,2026-06-17 19:30:00,841
Arts & Theatre,ev_29,pre3,-0.0023827685461269613,0.09305963965640163,129.44998000528324,Lachkater - die Stand Up Comedy Show,2026-06-17 20:00:00,730
Arts & Theatre,ev_29,pre2,-0.00048691522757180286,0.09298762873604248,148.66559180053417,Lachkater - die Stand Up Comedy Show,2026-06-17 20:00:00,730
Arts & Theatre,ev_29,pre1,-0.0026189433513505713,0.09333486272953466,147.13644721312292,Lachkater - die Stand Up Comedy Show,2026-06-17 20:00:00,730
Arts & Theatre,ev_29,during,0.0035035251452993285,0.10312721869600722,111.34366541182091,Lachkater - die Stand Up Comedy Show,2026-06-17 20:00:00,730
Arts & Theatre,ev_29,post1,-0.0006971313076049874,0.09403106633228633,297.8417451707083,Lachkater - die Stand Up Comedy Show,2026-06-17 20:00:00,730
Arts & Theatre,ev_29,post2,-0.0006592390899708756,0.09369383193983034,247.27771152650396,Lachkater - die Stand Up Comedy Show,2026-06-17 20:00:00,730
Music,ev_30,pre3,-0.004963530187951714,0.08802319235872492,-8.836689910776151,Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17 20:00:00,2025
Music,ev_30,pre2,-0.0028729151731398616,0.08799746505371783,7.5020787271597555,Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17 20:00:00,2025
Music,ev_30,pre1,-0.002722908424703699,0.0882150264685463,27.524598672127574,Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17 20:00:00,2025
Music,ev_30,during,-0.013373714727138141,0.08707202978704123,9.742690107109864,Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17 20:00:00,2025
Music,ev_30,post1,-0.0024557322992437808,0.0892254555154965,452.7217584802453,Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17 20:00:00,2025
Music,ev_30,post2,0.0008707170313205213,0.08947038903585457,372.87578058213444,Doja Cat - Tour Ma Vie World Tour | Premium Packages,2026-06-17 20:00:00,2025
Arts & Theatre,ev_31,pre3,-0.005551636325738656,0.09307593230119751,128.7240341772628,Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17 20:00:00,603
Arts & Theatre,ev_31,pre2,-0.0032102096616256548,0.09300393454059608,147.989323435333,Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17 20:00:00,603
Arts & Theatre,ev_31,pre1,-0.003050294433141877,0.093351357145446,147.0298676275298,Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17 20:00:00,603
Arts & Theatre,ev_31,during,-0.014802338184078851,0.10315988886064824,107.51003318611359,Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17 20:00:00,603
Arts & Theatre,ev_31,post1,-0.0032799005379189586,0.09403691052773618,296.8155375519378,Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17 20:00:00,603
Arts & Theatre,ev_31,post2,-0.0027096790262247225,0.09371092651924877,246.5663689696377,Doja Cat - Tour Ma Vie World Tour | Box seat in the Ticketmaster Suite,2026-06-17 20:00:00,603
